                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8819,                 2.9647,                 1.9368,                0.48312,                    0.4,                0.34189,                0.13455,                 1.8984,                 2.9067,                 1.7546,               0.070231,              0.0033077,              0.0033077
                      1,                 1.6577,                 2.2195,                 1.7341,                 0.3358,                   0.36,                0.21559,                0.09632,                 2.1229,                 2.9423,                 2.3716,               0.040012,              0.0064219,              0.0064219
                      2,                 1.7045,                 2.0677,                 1.7811,                0.24128,                   0.44,                0.24137,                0.09385,                 2.2662,                 3.0383,                 2.1642,              0.0095725,              0.0093161,              0.0093161
                      3,                 1.7351,                 2.0516,                 1.8129,                0.57874,                   0.12,                 0.1786,                0.04189,                 2.4669,                 2.9768,                 2.6668,                0.00901,                0.00901,                0.00901
                      4,                 1.7412,                 1.9868,                 1.8293,                0.97494,                    0.6,                0.68807,                0.27604,                 2.0861,                 2.5771,                 1.9762,                0.00901,                0.00901,                0.00901
                      5,                 1.6962,                 1.8803,                 1.7849,                0.60812,                   0.64,                 0.5587,                0.21239,                 2.1592,                 2.6109,                 2.0541,                0.00868,                0.00868,                0.00868
                      6,                 1.6647,                 1.8442,                 1.7813,                0.51929,                   0.52,                0.50274,                0.23661,                 2.0659,                 2.5414,                 2.1436,                0.00835,                0.00835,                0.00835
                      7,                 1.6533,                 1.7825,                 1.7638,                0.41056,                0.36229,                0.36704,                0.13567,                 2.3677,                 2.3896,                 2.3314,                0.00802,                0.00802,                0.00802
                      8,                 1.6314,                 1.7258,                 1.7316,                0.89119,                    0.6,                0.73531,                0.24471,                 2.4327,                 1.7652,                 2.1708,                0.00769,                0.00769,                0.00769
                      9,                 1.6155,                  1.651,                 1.7295,                0.85218,                    0.6,                 0.6568,                0.24456,                 2.2909,                 1.7877,                 2.1275,                0.00736,                0.00736,                0.00736
                     10,                 1.6118,                 1.6682,                 1.7224,                 0.8473,                   0.56,                0.71788,                0.25863,                 2.2542,                 1.7948,                 2.0067,                0.00703,                0.00703,                0.00703
                     11,                 1.5801,                 1.5967,                 1.6895,                0.78528,                   0.64,                0.64765,                0.24471,                 2.2134,                 1.8933,                 2.0643,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5594,                 1.5565,                  1.664,                0.79133,                    0.6,                0.66552,                0.27884,                 2.0296,                 1.7764,                 1.9508,                0.00637,                0.00637,                0.00637
                     13,                 1.5538,                 1.5741,                 1.6737,                0.98327,                   0.64,                0.72204,                0.26229,                 2.1848,                 1.5935,                  1.952,                0.00604,                0.00604,                0.00604
                     14,                 1.5178,                 1.5115,                 1.6415,                0.62136,                0.59108,                0.61496,                0.22425,                 2.3571,                 1.7613,                 2.1568,                0.00571,                0.00571,                0.00571
                     15,                  1.534,                 1.4878,                 1.6432,                0.81285,                   0.72,                0.72226,                0.25896,                 2.2084,                 1.4594,                 2.0245,                0.00538,                0.00538,                0.00538
                     16,                 1.5164,                 1.4758,                 1.6399,                 0.8051,                0.66144,                0.73184,                0.26409,                 2.2148,                 1.6944,                 2.1148,                0.00505,                0.00505,                0.00505
                     17,                 1.5126,                 1.4406,                 1.6212,                0.69298,                   0.72,                0.70961,                0.22899,                 2.3301,                 1.9013,                 2.1802,                0.00472,                0.00472,                0.00472
                     18,                   1.48,                 1.4145,                 1.6093,                0.68291,                   0.72,                0.65125,                0.31762,                 2.0369,                 1.7644,                 1.9369,                0.00439,                0.00439,                0.00439
                     19,                 1.4759,                 1.3478,                 1.5961,                0.91402,                   0.64,                0.73533,                0.31824,                 2.0876,                 1.4499,                  1.935,                0.00406,                0.00406,                0.00406
                     20,                 1.4781,                 1.2725,                 1.6532,                 0.8444,                   0.76,                0.81818,                0.32507,                 1.9682,                 1.4234,                 1.8182,                0.00373,                0.00373,                0.00373
                     21,                 1.4661,                 1.1919,                 1.6432,                0.74566,                   0.64,                0.67896,                0.26059,                 2.2232,                 1.6221,                 2.0432,                 0.0034,                 0.0034,                 0.0034
